"BRICS Country","Gulf Country","Year","Type of Project","Sector","Depth","Companies Involved","Notes","Source/Link"
"China","Qatar","2023","Long-term Supply Agreement","LNG","High","""CNPC, QatarEnergy""","CNPC signed a 27-year LNG supply deal with QatarEnergy for 4 million tons per annum.","https://www.energypolicy.columbia.edu/unpacking-the-recent-china-qatar-lng-deals/"
"China","Qatar","2025","Investment","Renewables (Solar)","Medium","""Chinese companies (unspecified), QatarEnergy""","""The Al-Kharsaah Solar Power Plant, built with Chinese involvement, was completed in October 2022.""","https://oilgas-info.jogmec.go.jp/_res/projects/default_project/_page_/001/010/410/4_12_en_2025_qatarenergy.pdf"
"China","Qatar","2025","Sales and Purchase Agreement","Helium","Medium","""QatarEnergy, Guangzhou Guanggang Gases & Energy Co. Ltd (G-gas)""","QatarEnergy signed a 20-year helium sales and purchase agreement with China's G-gas.","https://www.qatarenergy.qa/en/MediaCenter/Pages/News.aspx"
"China","Iraq","2025","Oilfield Expansion","Oil","Medium","""Geo-Jade Petroleum, Basra Crescent, Iraq Oil Ministry""","Iraq signed an agreement with China's Geo-Jade Petroleum and Basra Crescent to expand the capacity of an oilfield.","https://www.argusmedia.com/en/news-and-insights/latest-market-news/2691198-iraq-signs-integrated-energy-deal-with-china-s-geo-jade"
"China","Iraq","2025","Long-term Supply Agreement","Oil","Medium","""Iraq, China""","""Iraq's crude oil exports to China surged to 1.42M bpd in June 2025, indicating a strong supply relationship.""","https://shafaq.com/en/Economy/Iraq-s-oil-exports-to-China-surge-to-1-42M-bpd-in-June"
"China","Iraq","2023","Financing Agreement","Oil","High","""China, Iraq""","""A 20-year pact mandates Iraq to set aside funds from selling 100,000 barrels of oil daily to China for financing projects in Iraq.""","https://epc.ae/details/featured/china-s-iraq-energy-policy-evading-the-vulnerabilities"
"China","Iraq","2025","Investment/Development","Oil","High","""Independent Chinese oil firms, Iraq""","""Independent Chinese oil firms are planning multi-billion-dollar projects to develop oilfields in Iraq, aiming to double output.""","https://www.reuters.com/business/energy/chinas-independent-oil-firms-elbow-into-iraqs-majors-dominated-market-2025-08-04/"
"China","Iraq","2025","Project Development","Gas","Medium","""CNPC, Iraq""","CNPC's Halfaya natural gas processing plant is a key natural gas project in Iraq with Chinese involvement.","https://www.eia.gov/international/content/analysis/countries_long/Iraq/Iraq_2025.pdf"
"China","Bahrain","2025","Contract","Renewables (Solar)","Medium","""Undisclosed Chinese Contractor, Bahraini government/entities""","A Chinese contractor secured a $71 million solar power contract in Bahrain for a project in the Southern Governorate.","https://www.bncnetwork.net/news/71M-Solar-Power-Contract-Awarded-in-Al-Dur-Bahrain/MzE3MjA="
"China","Oman","2025","Project Development/Operation","Renewables (Solar)","High","""POWERCHINA, Undisclosed Omani entities""","""POWERCHINA developed and operates the Ibri II Solar Power Plant, Oman's largest renewable energy project with 607 MWp capacity.""","https://en.powerchina.cn/2025-05/29/c_828953.htm"
"China","Oman","2025","Investment","Renewables (Battery Storage)","Medium","""Chinese companies (unspecified), Oman""","Chinese companies are involved in battery manufacturing projects in Oman.","https://www.carbonbrief.org/china-briefing-24-july-2025-eu-china-climate-statement-worlds-largest-megadam-clean-tech-exports/"
"China","Oman","2025","Investment/Construction","Renewables (Solar)","High","""JA Solar, Undisclosed Omani entities""","China's JA Solar will wholly fund and build a $564 million solar farm in the Sohar Freezone with a production capacity of 6GW.","https://www.energy-box.com/post/chinese-company-to-build-solar-plant-in-oman-freezone"
"China","Iran","2020-2025","Long-term Supply Agreement","Oil","High","""Chinese state-owned companies, National Iranian Oil Company (NIOC)""","""China has consistently been the top buyer of Iranian crude oil, with significant volumes of oil exports to China despite sanctions.""","https://www.fdd.org/analysis/2025/07/03/5-things-to-know-about-china-iran-security-cooperation/"
"China","Iran","2025","Investment/Project","Coal-to-Gas","Medium","""Undisclosed Chinese entities, Iranian entities""","China's $11.4 billion trade deals with Iran include coal-to-synthetic gas projects.","https://www.ainvest.com/news/china-iran-energy-ties-navigating-geopolitical-crossroads-in-global-oil-markets-2506/"
"China","Iran","2020","Strategic Cooperation","Renewables","Medium","""Chinese companies, Iranian government""","""General cooperation in renewable energy, including hydropower, photovoltaic, wind, and biomass power generation.""","https://greenfdc.org/renewable-energy-cooperation-and-investment-and-financing-between-china-and-iran/"
"India","UAE","2025","Strategic Cooperation","Nuclear","High","""India, UAE""","""India and the UAE are forging a future-focused energy alliance through strategic cooperation in nuclear power, critical minerals, and green hydrogen.""","https://orfme.org/research/india-uae-partnership-in-next-generation-energy-sectors/"
"India","UAE","2025","Interconnection Project","Electricity/Renewables","High","""India, UAE""","""A planned system would enable large-scale renewable energy transmission from the UAE to India with a capacity of approximately 2,000–2,500 MW.""","https://www.utilities-me.com/utilities/the-technicalities-of-turning-a-uae-india-power-grid-into-reality"
"India","UAE","2025","Investment","Renewables","High","""Abu Dhabi's sovereign wealth fund, Indian renewable energy companies""","Abu Dhabi's sovereign wealth fund committed $5 billion to renewable energy projects in India.","https://www.ainvest.com/news/geopolitical-realignmen-middle-east-macron-recognition-palestine-reshapes-energy-defense-emerging-market-investments-2507/"
"India","UAE","2025","Energy Hub Development","Multi-sector","Medium","""Sri Lanka, India, UAE""","""Sri Lanka will begin talks with India and UAE for a new energy hub, indicating a confirmed plan for collaboration.""","https://www.reuters.com/business/energy/sri-lanka-begin-talks-with-india-uae-new-energy-hub-2025-04-25/"
"India","UAE","2025","LNG Deal","LNG","Medium","""ADNOC, Indian companies""","""The UAE's expanding LNG and gas investments, including a $13 billion spending plan, present opportunities for greater U.S. energy involvement, and also for India.""","https://oilprice.com/Energy/Natural-Gas/UAE-India-LNG-Deal-Highlights-USs-Strategic-Energy-Play.html"
"India","Saudi Arabia","2025","Strategic Cooperation","Multi-sector (Oil","Gas","Green Hydrogen","""Electricity), High, ""India, Saudi Arabia"", ""India and Saudi Arabia are expanding cooperation in crude; gas; green hydrogen; and exploring electricity grid interconnectivity.""""","https://saudienergyconsulting.com/insights/articles/saudi-arabia-india-energy-cooperation-expands-with-new-agreements"
"India","Saudi Arabia","2025","Investment","Renewables/Infrastructure","High","""Saudi Arabia (unspecified entities), India""","Saudi Arabia committed $12 billion investment into India's renewable energy and infrastructure sectors.","https://jkmanagement.ae/india-saudi-arabia-economic-relations-2025-transformational-shift/"
"India","Saudi Arabia","2025","Joint Projects","Refineries/Petrochemicals","Medium","""India, Saudi Arabia""","India and Saudi Arabia are exploring joint projects in refineries and petrochemicals.","https://thearabweekly.com/saudi-arabia-india-boost-cooperation-energy-and-defence-after-modis-visit"
"India","Saudi Arabia","2025","Supply Agreement","Crude/LPG","Medium","""India, Saudi Arabia""","Saudi Arabia and India agreed to boost cooperation in supplies of crude and liquefied petroleum gas.","https://www.reuters.com/business/energy/saudi-arabia-india-agree-boost-cooperation-energy-including-crude-lpg-2025-04-23/"
"India","Saudi Arabia","2025","Strategic Partnership","Green Hydrogen/Solar","High","""Saudi Arabia, India""","Saudi expertise in green hydrogen and solar power will bolster India's goal of 500 GW renewable energy capacity by 2030.","https://www.ainvest.com/news/saudi-india-energy-alliance-strategic-shift-global-energy-dynamics-2504/"
"India","Kuwait","2020-2025","Supply Agreement","Oil","Medium","""Indian Oil Public Sector Undertakings, Kuwait Petroleum Corporation (KPC)""","""Kuwait has consistently been a major crude oil supplier to India, fulfilling a significant portion of India's energy needs.""","https://www.mea.gov.in/Portal/ForeignRelation/India-Kuwait-Bilateral-12-2024.pdf"
"India","Kuwait","2025","Strategic Cooperation","Renewables (Solar)","Medium","""India, Kuwait (via ISA membership)""","Kuwait's membership in the International Solar Alliance (ISA) reinforces shared commitment to solar energy.","https://employmentnews.gov.in/newemp/MoreContentNew.aspx?n=Editorial&k=120462"
"India","Kuwait","2025","Bid/Contract","Oil Infrastructure","Low","""Larsen & Toubro, Kuwait National Petroleum Corporation (KNPC)""","India-based Larsen & Toubro submitted the lowest bid for a contract tendered by KNPC.","https://guest.meed.com/larsen-toubro-bids-low-for-kuwait-oil-contract/"
"India","Qatar","2025","Supply Agreement","LNG","Medium","""GAIL, QatarEnergy Trading""","India's GAIL will receive 12 LNG cargoes per year from Qatar Energy Trading starting April 2025 for five years.","https://www.spglobal.com/commodity-insights/en/news-research/latest-news/lng/121724-indias-gail-to-receive-12-lng-cargoesyear-from-qatar-energy-trading-starting-2025"
"India","Qatar","2025","Investment","Multi-sector","High","""Qatar, India""","""Qatar announced a $10 billion investment in India, including infrastructure and technology, which can include energy projects.""","https://energynews.oedigital.com/lng/2025/02/18/qatar-invests-10-billion-in-india"
"India","Qatar","2025","Partnership","Renewables (Solar)","Medium","""Revayu Energy, Q Solar""","Indian firm Revayu Energy partnered with Q Solar to install 100 MW of solar capacity in Qatar.","https://www.eqmagpro.com/revayu-energy-expands-to-qatar-sets-100-mw-solar-goal-for-middle-east-transition-eq/"
"India","Qatar","2020-2025","Long-term Supply Agreement","LNG","High","""Indian energy firms, Qatari energy firms""","Strategic long-term agreements between Indian and Qatari energy firms have built a continuous LNG supply network.","https://www.vajiraoinstitute.com/upsc-ias-current-affairs/as-india-and-qatar-eye-trade-expansion-why-lngs-centrality-in-bilateral-trade-is-in-focus.aspx"
"India","Iraq","2024-2025","Supply Agreement","Oil","High","""Indian Oil Corporation (IndianOil), Hindustan Petroleum Corp Ltd (HPCL), Iraq""","""IndianOil and HPCL plan to maintain or increase crude oil imports from Iraq, making Iraq a dominant supplier to India.""","https://shafaq.com/en/Economy/IndianOil-to-sustain-Iraq-oil-imports-at-21M-tons-in-2025"
"India","Oman","2025","Strategic Petroleum Reserve","Oil","Medium","""Indian Strategic Petroleum Reserves Ltd (ISPRL), Oman""","""India is looking to store crude oil in Oman, indicating a strategic energy reserve partnership.""","https://energynews.oedigital.com/oil-storage/2025/02/19/isprl-chief-india-wants-to-store-oil-in-oman"
"India","Oman","2020-2025","Supply Agreement","Crude Oil","High","""Indian refiners, Oman""","""Oman is a consistent and significant supplier of crude oil to India, forming a key part of India's energy imports.""","https://www.indemb-oman.gov.in/docs/1738146834Website%20bilateral%20brief%20-%20January%202025.doc.pdf"
"India","Oman","2025","Trade and Investment Pact","Multi-sector (Energy)","Medium","""India, Oman""","""India and Oman are finalizing a comprehensive trade and investment pact, which is expected to include energy cooperation.""","https://www.deccanherald.com/india/india-oman-looking-at-finalising-comprehensive-trade-deal-soon-3356158"
"Russia","UAE","2025","Cooperation Agreement","Nuclear","Medium","""Russia, UAE""","Russia and UAE signed an intergovernmental agreement on cooperation in the peaceful use of atomic energy.","http://en.kremlin.ru/acts/news/77382"
"Russia","UAE","2022","Joint Venture","Oil/Gas (Digital Technology)","Medium","""Gazprom Neft, ADNOC""","Gazprom Neft and ADNOC signed an agreement to commercialize jointly developed digital technologies for the oil and gas sector.","https://jpt.spe.org/gazprom-neft-adnoc-step-up-efforts-to-commercialize-digital-technology"
"Russia","UAE","2024","Investment","Energy Sector","High","""UAE (unspecified entities), Russia""","""The UAE has significantly ramped up its investments in Russia, particularly in the energy sector.""","https://www.ispionline.it/en/publication/uae-investments-in-russia-a-testament-to-growing-bilateral-ties-177993"
"Russia","Saudi Arabia","2020-2025","Strategic Cooperation","Oil","High","""OPEC+, Russia, Saudi Arabia""","""Russia and Saudi Arabia, as key members of OPEC+, have engaged in significant cooperation to stabilize global oil markets through production adjustments.""","https://energynews.pro/en/opec-closer-cooperation-between-saudi-arabia-and-russia/"
"Russia","Saudi Arabia","2025","Joint Investment Projects","Multi-sector (including energy)","Medium","""Russia, Saudi Arabia""","""Over 40 joint Russian-Saudi investment projects are being implemented, including in infrastructure and potentially energy.""","http://government.ru/en/news/55392/"
"Russia","Iraq","2025","Investment","Oil/Gas","High","""Lukoil, Gazprom, Rosneft""","Russian oil and gas corporations have invested over $19 billion in Iraq's energy sector.","https://www.iraqinews.com/iraq/russias-investments-in-iraqs-energy-sector-rise-to-20-billion/"
"Russia","Iraq","2025","Project Restart","Oil","Medium","""Russian companies (unspecified), Iraqi Kurdistan""","Russian companies are set to restart oil projects in Iraqi Kurdistan following a settlement of oil disputes.","https://www.reuters.com/business/energy/russia-restart-oil-projects-iraqi-kurdistan-tass-cites-energy-minister-2025-02-27/"
"Russia","Iraq","2025","Strategic Cooperation","Oil/Gas","High","""Russia, Iraq""","""Moscow and Baghdad agreed to review and expand existing oil and gas contracts over the next five years, signaling deepened commitment.""","https://eurasiabusinessnews.com/2025/07/11/russia-eyes-new-oil-deals-in-iraq/"
"Russia","Iraq","2025","Oilfield Development","Oil","High","""Russian companies (unspecified), Iraq""","""Russian companies are actively expanding their oil interests in Iraq, capitalizing on opportunities to modernize its hydrocarbon sector.""","https://www.iraq-businessnews.com/2025/07/13/russia-eyes-new-oil-deals-in-iraq/"
"Russia","Iraq","2025","Investment","Oil","High","""Russian companies (unspecified), Iraq""","A Russian company may take control of up to 670 million new barrels of oil and get 80 percent of profits for investing in Iraqi oilfields.","https://futureuae.com/Entrar/Mainpage/Item/3786/overlapping-interests-significance-of-iraqs-shifting-position-on-russian-oil-investments"
"Russia","Bahrain","2025","Supply Agreement","LNG","Medium","""Russia (unspecified supplier), Bahrain""","Russia is in advanced talks with Bahrain over a three-year LNG agreement to supply 1.5 million tons per year.","https://www.reuters.com/business/energy/russia-bahrain-advanced-talks-over-lng-supply-deal-sources-say-2025-05-23/"
"Russia","Bahrain","2025","Supply Agreement","LNG","Medium","""Russia (unspecified supplier), Bahrain""","Russia is in advanced talks with Bahrain over a three-year LNG agreement to supply 1.5 million tons per year.","https://www.reuters.com/business/energy/russia-bahrain-advanced-talks-over-lng-supply-deal-sources-say-2025-05-23/"
"Russia","Bahrain","2025","MoU","Fuel and Energy Technology","Low","""Bahrain, Russia""","Bahrain and Russia signed MoUs on fuel and energy technology cooperation.","https://www.bna.bh/en/news?cms=q8FmFJgiscL2fwIzON1%2BDu6zK0iGzakMaIktbX1i0vE%3D"
"Russia","Iran","2025","Strategic Partnership","Multi-sector (Energy)","High","""Russia, Iran""","""The Russia-Iran Comprehensive Strategic Alliance Agreement, formally formed in January 2025, includes significant energy cooperation.""","https://trendsresearch.org/insight/the-russia-iran-strategic-partnership-pact-energy-geopolitics-and-shifting-global-alliances/?srsltid=AfmBOop2UZxMTfh43uaQ1b6T-7cLlKbXVxPv3fZdV3Hu6fgwuouNf11s"
"Russia","Iran","2025","Investment","Gas","High","""Russia (unspecified companies), Iran""","""Russia is set to invest $8 billion in Iran's gas projects, with nearly $5 billion already finalized.""","https://www.iranoilgas.com/news/details.aspx?id=27733&title=Russia+is+set+to+invest+%248+Bln+in+Iran%27s+gas+projects%3A+Envoy"
"Russia","Iran","2025","Supply Agreement","Natural Gas","Medium","""Russia, Iran""","""Russia intends to start supplying natural gas to Iran as early as 2025, using existing and new pipelines.""","https://szru.gov.ua/en/news-media/news/russia-and-iran-an-energy-alliance-against-the-background-of-global-isolation"
"Russia","Iran","2025","Construction","Nuclear","High","""Russia, Atomic Energy Organisation of Iran (AEOI)""","Russia is planning to build eight nuclear reactors in Iran under a previously signed contract.","https://www.enerdata.net/publications/daily-energy-news/russia-plans-construct-eight-nuclear-reactors-iran.html"
"Russia","Iran","2024","MOU","Natural Gas","High","""Gazprom, National Iranian Gas Company (NIGC)""","Gazprom and NIGC signed an MOU for Iran to import up to 300M cubic meters of Russian gas daily.","https://amwaj.media/article/what-can-russia-bring-to-iran-s-natural-gas-sector"
"Brazil","UAE","2024","Strategic Partnership","Renewables","High","""UAE, Brazil""","The UAE and Brazil forged a strategic renewable energy partnership with landmark agreements to promote sustainable development.","https://solarquarter.com/2024/11/19/uae-and-brazil-forge-strategic-renewable-energy-partnership-with-landmark-agreements-and-global-sustainability-initiatives/"
"Brazil","UAE","2025","Investment","Environmental/Sustainable Development","Medium","""Erth Zayed Philanthropies, Brazil""","""The UAE's Erth Zayed Philanthropies committed $40 million to back Brazilian projects to protect the environment and advance sustainable development, which can include energy.""","https://www.argusmedia.com/en/news-and-insights/latest-market-news/2645656-uae-commits-40mn-to-brazil-enviro-initiatives"
"Brazil","UAE","2025","Trade","Oil","Medium","""Brazil, UAE""","""The UAE is a major importer of oil from Brazil, indicating ongoing trade relations in the energy sector.""","https://www.mofa.gov.ae/en/missions/sao-paulo/uae-relationships/economic-cooperation"
"Brazil","Qatar","2022","Exploration Rights","Oil/Gas","High","""QatarEnergy, TotalEnergies, Petronas""","""QatarEnergy, as part of a consortium, won exploration rights for 4 offshore blocks in Brazil.""","https://brazilenergyinsight.com/2022/12/19/qatarenergy-totalenergies-and-petronas-win-offshore-exploration-block-in-brazil/"
"Brazil","Qatar","2022","Investment Decision","Oil","High","""QatarEnergy, Sepia joint venture partners""","QatarEnergy announced a Final Investment Decision (FID) for the second development phase of Brazil's Sepia field.","https://www.euro-petrole.com/qatarenergy-announces-fid-in-the-second-development-phase-for-brazil-s-sepia-field-n-i-27058"
"Brazil","Qatar","2020-2025","Long-term Supply Agreement","LNG","Medium","""Ocean LNG (Qatar Petroleum), Brazil (unspecified buyer)""","""Ocean LNG, Qatar Petroleum's marketing arm, signed a long-term SPA to sell 1.3 million tonnes a year of LNG to Brazil.""","https://www.rivieramm.com/news-content-hub/news-content-hub/qatar-petroleums-ocean-lng-signs-ex-ship-supply-deal-in-brazil-30817"
"Brazil","Oman","2024","Discussion/Investment","Renewables","Low","""Oman, Brazil""","Oman and Brazil are discussing investments in renewable energy.","https://www.energy-box.com/post/oman-and-brazil-are-discussing-investments-in-renewable-energy-and-agriculture"
"Brazil","Iran","2025","Collaboration","Renewables","Low","""Brazil, Iran""","""Brazil and Iran are collaborating in the energy sector, particularly in renewable energy, discussed during the 4th Meeting of the BRICS Working Group on New and Renewable Energy.""","https://iranpress.com/content/305657/iran-brazil-collaborate-energy-section"
"South Africa","UAE","2020-2024","Investment","Renewables","High","""UAE companies (unspecified), South Africa""","""UAE companies invested significantly in FDI projects in South Africa, with a substantial portion in renewable energy.""","https://www.wesgro.co.za/uploads/files/Wesgro-Research_UAE-Factsheet-2025.03.pdf"
"South Africa","UAE","Ongoing","Project Development","Renewables (Wind","Solar)","Medium","""""Masdar, South Africa"", Masdar has ongoing renewable energy projects (wind and solar) in South Africa.""","https://masdar.ae/en/renewables/our-projects?country=South%20Africa"
"South Africa","Saudi Arabia","2024","Investment","Renewables (Solar)","High","""ACWA Power, South Africa""","ACWA Power's Redstone solar plant in South Africa is set to achieve its full 100 MW capacity.","https://hornobserver.com/articles/3205/Saudi-Arabia-Expands-Energy-Ties-with-Africa-A-Look-at-Key-Investments-Partnerships"
"South Africa","Qatar","2022","Exploration","Gas/Condensate","High","""QatarEnergy, TotalEnergies, Shell""","QatarEnergy and its partners announced a second gas/condensate discovery in the Luiperd prospect offshore South Africa.","https://www.euro-petrole.com/qatar-petroleum-and-its-partners-announce-a-second-discovery-in-south-africa-n-i-21283"
"South Africa","Qatar","2024","Exploration","Oil/Gas","High","""QatarEnergy""","""QatarEnergy entered a new exploration block offshore South Africa, expanding its presence in the region.""","https://ogv.energy/news-item/qatarenergy-enters-new-exploration-block-offshore-south-africa/"
"South Africa","Iran","2025","Potential Cooperation","Nuclear","High","""South Africa, Iran""","South Africa is open to bids from Iran for expanding its civilian nuclear power capacity.","https://www.necsa.co.za/2025/02/17/south-africa-open-to-nuclear-project-bids-from-russia-or-iran-minister-says/"
"UAE","Oman","2025","Investment/Cooperation","Renewables","Medium","""Masdar, Oman""","""Masdar, a UAE company, is involved in renewable energy projects in Oman.""","https://masdar.ae/en/renewables/our-projects"
"UAE","Oman","2025","Strategic Cooperation","Renewables","High","""UAE, Oman""","""Both UAE and Oman are actively pursuing renewable energy development, with efforts to attract foreign direct investment and increase fossil fuel exports.""","https://www.clingendael.org/sites/default/files/2025-04/Political_economy_renewable_energy_UAE_and_Oman.pdf"
"UAE","Saudi Arabia","2025","Investment","Renewables","High","""UAE, Saudi Arabia""","""Both UAE and Saudi Arabia are heavily investing in renewables, battery energy storage systems (BESS), and carbon capture and storage.""","https://www.washingtoninstitute.org/policy-analysis/new-energy-order-uae-and-saudi-arabia"
"UAE","Saudi Arabia","2020-2025","Market Coordination","Oil","High","""OPEC+, UAE, Saudi Arabia""","""UAE and Saudi Arabia, as key OPEC+ members, coordinate on oil production to stabilize global markets.""","https://www.reuters.com/business/energy/behind-opec-oil-output-hike-saudi-russian-tensions-simmer-2025-06-02/"
"UAE","Saudi Arabia","2025","Investment","Renewables (Solar/Wind)","High","""ACWA Power (Saudi Arabia), UAE (unspecified entities)""","""Saudi Arabia awarded $8.3 billion worth of solar and wind energy projects, with UAE companies potentially involved in the broader regional investment landscape.""","https://www.saudigulfprojects.com/2025/07/saudi-arabia-awards-8-3-billion-worth-15000-mw-solar-and-wind-energy-projects/"
"UAE","Iraq","2025","Investment","Renewables","High","""UAE (unspecified entities), Iraq""","""The UAE is involved in 5 renewable energy projects in Iraq with a total capacity of 1, 000 MW and $1, 879 million in capital investments.""","https://www.energypolicy.columbia.edu/project/iraq-uae/"
"UAE","Iraq","2025","Collaboration","Solar","High","""Masdar, Iraq""","Masdar (UAE) and Iraq are collaborating on 1000 MW solar power projects.","https://www.energetica-india.net/news/iraq-and-masdar-collaborate-on-1000-mw-solar-power-projects"
"UAE","Bahrain","2025","Project Development","Wind","High","""Masdar, Bapco Energies""","Masdar and Bapco Energies are developing up to 2 GW of wind projects in Bahrain to support decarbonization.","https://hydrogenindustryleaders.com/masdar-and-bapco-energies-to-develop-up-to-2-gw-of-wind-projects/"
"UAE","Iran","2025","Strategic Cooperation","Renewables","Medium","""UAE, Iran""","""The UAE and Iran held a Joint Economic Committee meeting to promote cooperation in new economy sectors, including renewable energy.""","https://www.moet.gov.ae/en/-/uae-and-iran-hold-first-session-of-joint-economic-committee-to-promote-cooperation-in-new-economy-sectors-tourism-transport-entrepreneurship-renewable-energy"
"Ethiopia","UAE","2024","Investment","Wind","High","""AMEA Power""","AMEA Power (UAE) signed an agreement for the construction of a 300 MW wind farm in Ethiopia.","https://www.big5constructethiopia.com/ethiopia-collaborates-with-uaes-amea-power-for-a-600mn-powerplant/"
"Ethiopia","UAE","2025","Investment","Solar","High","""Masdar""","Masdar (UAE) is involved in developing two solar plants and 500 MW of solar capacity in Ethiopia.","https://www.undp.org/sites/g/files/zskgke326/files/2025-02/undp-working_paper_series-financing_ethiopias_green_transition_final.pdf"
"Ethiopia","Saudi Arabia","2019","Project Development","Solar","High","""ACWA Power""","ACWA Power (Saudi Arabia) was awarded two 125 MW solar projects in Ethiopia's PPP program.","https://www.acwapower.com/news/acwa-power-awarded-two-125-mw-total-capacity-250-mw-solar-projects-in-first-round-of-ethiopias-ppp-programme/"
"Egypt","UAE","2024","Investment","Solar","High","""Masdar""","Egypt greenlit Masdar (UAE) to develop solar energy farms worth over $900 million.","https://www.energy-box.com/post/egypt-has-agreed-to-the-uae-s-offer-to-establish-900-million-worth-of-solar-energy-farms"
